bus_name,x_coordinate,y_coordinate,de_lat,de_lon,real_lat,real_lon
bus_001,626,-324,52.2512205,8.0700455,,
bus_002,678,-324,52.2969323,8.3533539,,
bus_003,574,-308,51.8826465,8.7193613,,
bus_004,522,-212,51.8826465,8.7193613,37.404748,-121.972042
bus_005,418,-244,51.9101182,9.3203,,
bus_006,626,-244,51.9898072,9.2579,37.401143,-121.968665
bus_007,678,-260,52.109153,9.3351188,,
bus_008,350,-340,51.9101182,9.3203,37.400777,-121.972391
bus_009,298,-324,51.7522652,9.5844959,,
bus_010,246,-324,51.5813548,9.899496,38.012854,-121.845415
bus_011,574,-180,52.1070867,8.7524744,,
bus_012,730,-260,52.3381469,8.6931795,38.017317,-121.84482
bus_013,678,-164,52.3653678,8.9436991,,
bus_014,782,-260,52.4127104,8.8346793,,
bus_015,902,-244,52.4821252,8.9470823,38.017405,-121.865401
bus_016,782,-324,52.3016022,9.1937,,
bus_017,834,-324,52.3625032,9.6604524,,
bus_018,902,-388,52.603019,9.3955271,37.425201,-121.932155
bus_019,986,-364,52.4635416,9.4225628,38.014579,-121.86079
bus_020,778,-548,52.4889931,9.7537,,
bus_021,726,-548,52.4454742,10.1409,,
bus_022,674,-548,52.4860124,10.3261,,
bus_023,570,-556,52.4817812,10.5637589,,
bus_024,622,-596,52.7203235,10.6256664,37.739361,-121.671571
bus_025,258,-540,52.4645323,10.8276333,38.016816,-121.765071
bus_026,190,-526,52.4645323,10.8276333,38.019907,-121.83901
bus_027,310,-484,52.1581259,10.4746,38.166032,-121.863149
bus_028,362,-452,52.129808,10.0871,,
bus_029,414,-452,52.1501797,9.9477638,,
bus_030,902,-484,52.3625032,9.6604524,,
bus_031,466,-436,52.2051235,9.8317,38.178914,-121.869577
bus_032,518,-500,52.2946112,10.3552997,38.019495,-121.863846
bus_033,1198,-388,52.6405245,9.2040427,,
bus_034,1198,-276,52.5770738,9.4554611,38.889778,-121.098521
bus_035,1302,-324,52.603019,9.648223,,
bus_036,1250,-324,52.603019,9.648223,38.651281,-121.395618
bus_037,1354,-364,52.8200495,9.3515,,
bus_038,1286,-452,52.8200495,9.3515,,
bus_039,1406,-324,52.9160098,8.8529096,,
bus_040,1458,-356,53.047357,8.8205709,40.150182,-122.212457
bus_041,1510,-324,53.1957868,8.6503822,,
bus_042,1562,-356,53.3499311,8.8282005,40.986307,-121.849284
bus_043,1458,-228,52.7101727,9.5906,,
bus_044,1510,-228,53.1200985,9.5,,
bus_045,1562,-212,53.1107593,9.6928,,
bus_046,1614,-260,53.0036565,9.8929,38.331835,-121.12402
bus_047,1666,-308,53.1963017,9.9092,,
bus_048,1666,-228,53.1963017,9.9092,,
bus_049,1718,-308,53.6492183,9.9082771,38.334348,-121.121386
